id,event_id,name,sport,team,region_en,region_fr,region_nl,bio_en,bio_fr,bio_nl
ath-124,sport-8,Athlete LI7QZSKJ,Cycling,A.C.I.S. SOLEIL LEVANT,Hainaut,Hainaut,Hainaut,"Male athlete, age 50, active in Cycling (2025).","Athlete male, 50 ans, actif en Cycling (2025).","Male atleet, 50 jaar, actief in Cycling (2025)."
ath-126,sport-21,Athlete LK5TR6O8,Table Tennis,A.C.I.S. SOLEIL LEVANT,Hainaut,Hainaut,Hainaut,"Male athlete, age 46, active in Table Tennis (2025).","Athlete male, 46 ans, actif en Table Tennis (2025).","Male atleet, 46 jaar, actief in Table Tennis (2025)."
ath-128,sport-8,Athlete MKFVFHG1,Cycling,A.C.I.S. SOLEIL LEVANT,Hainaut,Hainaut,Hainaut,"Male athlete, age 30, active in Cycling (2025).","Athlete male, 30 ans, actif en Cycling (2025).","Male atleet, 30 jaar, actief in Cycling (2025)."
ath-130,sport-21,Athlete N3OOORDW,Table Tennis,A.C.I.S. SOLEIL LEVANT,Hainaut,Hainaut,Hainaut,"Male athlete, age 33, active in Table Tennis (2025).","Athlete male, 33 ans, actif en Table Tennis (2025).","Male atleet, 33 jaar, actief in Table Tennis (2025)."
ath-140,sport-7,Athlete RDK50BS0,Bowling,A.C.I.S. SOLEIL LEVANT,Hainaut,Hainaut,Hainaut,"Male athlete, age 44, active in Bowling (2025).","Athlete male, 44 ans, actif en Bowling (2025).","Male atleet, 44 jaar, actief in Bowling (2025)."
ath-154,sport-6,Athlete UTCZ5PR7,Bocce,A.C.I.S. SOLEIL LEVANT,Hainaut,Hainaut,Hainaut,"Male athlete, age 42, active in Bocce (2025).","Athlete male, 42 ans, actif en Bocce (2025).","Male atleet, 42 jaar, actief in Bocce (2025)."
ath-156,sport-8,Athlete V6FJB9C5,Cycling,A.C.I.S. SOLEIL LEVANT,Hainaut,Hainaut,Hainaut,"Male athlete, age 52, active in Cycling (2025).","Athlete male, 52 ans, actif en Cycling (2025).","Male atleet, 52 jaar, actief in Cycling (2025)."
ath-163,sport-8,Athlete ZSJH27ZN,Cycling,A.C.I.S. SOLEIL LEVANT,Hainaut,Hainaut,Hainaut,"Male athlete, age 32, active in Cycling (2025).","Athlete male, 32 ans, actif en Cycling (2025).","Male atleet, 32 jaar, actief in Cycling (2025)."
ath-166,sport-16,Athlete 26LIAIRL,Motor Activities,A.S. AURORE,Hainaut,Hainaut,Hainaut,"Female athlete, age 41, active in Motor Activities (2025).","Athlete female, 41 ans, actif en Motor Activities (2025).","Female atleet, 41 jaar, actief in Motor Activities (2025)."
ath-168,sport-16,Athlete 54EKM3Y5,Motor Activities,A.S. AURORE,Hainaut,Hainaut,Hainaut,"Male athlete, age 52, active in Motor Activities (2025).","Athlete male, 52 ans, actif en Motor Activities (2025).","Male atleet, 52 jaar, actief in Motor Activities (2025)."
ath-172,sport-16,Athlete BA2PV5V8,Motor Activities,A.S. AURORE,Hainaut,Hainaut,Hainaut,"Male athlete, age 46, active in Motor Activities (2025).","Athlete male, 46 ans, actif en Motor Activities (2025).","Male atleet, 46 jaar, actief in Motor Activities (2025)."
ath-173,sport-16,Athlete C6KCCEUK,Motor Activities,A.S. AURORE,Hainaut,Hainaut,Hainaut,"Male athlete, age 50, active in Motor Activities (2025).","Athlete male, 50 ans, actif en Motor Activities (2025).","Male atleet, 50 jaar, actief in Motor Activities (2025)."
ath-176,sport-16,Athlete FS6I2W83,Motor Activities,A.S. AURORE,Hainaut,Hainaut,Hainaut,"Male athlete, age 42, active in Motor Activities (2025).","Athlete male, 42 ans, actif en Motor Activities (2025).","Male atleet, 42 jaar, actief in Motor Activities (2025)."
ath-178,sport-16,Athlete GY7C2P90,Motor Activities,A.S. AURORE,Hainaut,Hainaut,Hainaut,"Female athlete, age 23, active in Motor Activities (2025).","Athlete female, 23 ans, actif en Motor Activities (2025).","Female atleet, 23 jaar, actief in Motor Activities (2025)."
ath-179,sport-16,Athlete KPEAU7SS,Motor Activities,A.S. AURORE,Hainaut,Hainaut,Hainaut,"Male athlete, age 41, active in Motor Activities (2025).","Athlete male, 41 ans, actif en Motor Activities (2025).","Male atleet, 41 jaar, actief in Motor Activities (2025)."
ath-183,sport-16,Athlete QFUB86II,Motor Activities,A.S. AURORE,Hainaut,Hainaut,Hainaut,"Male athlete, age 55, active in Motor Activities (2025).","Athlete male, 55 ans, actif en Motor Activities (2025).","Male atleet, 55 jaar, actief in Motor Activities (2025)."
ath-190,sport-16,Athlete WKKNZINN,Motor Activities,A.S. AURORE,Hainaut,Hainaut,Hainaut,"Female athlete, age 24, active in Motor Activities (2025).","Athlete female, 24 ans, actif en Motor Activities (2025).","Female atleet, 24 jaar, actief in Motor Activities (2025)."
ath-192,sport-16,Athlete Z37Z5NLO,Motor Activities,A.S. AURORE,Hainaut,Hainaut,Hainaut,"Male athlete, age 47, active in Motor Activities (2025).","Athlete male, 47 ans, actif en Motor Activities (2025).","Male atleet, 47 jaar, actief in Motor Activities (2025)."
ath-203,sport-2,Athlete A341FTLI,Aquatics/Swimming,A.T.L.A.S.H.,Liège,Liège,Liège,"Male athlete, age 41, active in Aquatics/Swimming (2025).","Athlete male, 41 ans, actif en Aquatics/Swimming (2025).","Male atleet, 41 jaar, actief in Aquatics/Swimming (2025)."
ath-216,sport-2,Athlete YMH0YB94,Aquatics/Swimming,A.T.L.A.S.H.,Liège,Liège,Liège,"Female athlete, age 42, active in Aquatics/Swimming (2025).","Athlete female, 42 ans, actif en Aquatics/Swimming (2025).","Female atleet, 42 jaar, actief in Aquatics/Swimming (2025)."
ath-217,sport-3,Athlete 025JU530,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 30, active in Athletics/Track and Field (2025).","Athlete male, 30 ans, actif en Athletics/Track and Field (2025).","Male atleet, 30 jaar, actief in Athletics/Track and Field (2025)."
ath-219,sport-3,Athlete 6K5TMTQB,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 27, active in Athletics/Track and Field (2025).","Athlete male, 27 ans, actif en Athletics/Track and Field (2025).","Male atleet, 27 jaar, actief in Athletics/Track and Field (2025)."
ath-220,sport-3,Athlete 6T0XI36J,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Female athlete, age 39, active in Athletics/Track and Field (2025).","Athlete female, 39 ans, actif en Athletics/Track and Field (2025).","Female atleet, 39 jaar, actief in Athletics/Track and Field (2025)."
ath-221,sport-3,Athlete 7T5SGF9P,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 43, active in Athletics/Track and Field (2025).","Athlete male, 43 ans, actif en Athletics/Track and Field (2025).","Male atleet, 43 jaar, actief in Athletics/Track and Field (2025)."
ath-224,sport-3,Athlete 9WMQ0K75,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Female athlete, age 25, active in Athletics/Track and Field (2025).","Athlete female, 25 ans, actif en Athletics/Track and Field (2025).","Female atleet, 25 jaar, actief in Athletics/Track and Field (2025)."
ath-225,sport-3,Athlete BPAYP4NB,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 24, active in Athletics/Track and Field (2025).","Athlete male, 24 ans, actif en Athletics/Track and Field (2025).","Male atleet, 24 jaar, actief in Athletics/Track and Field (2025)."
ath-226,sport-3,Athlete BWXSK193,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Female athlete, age 23, active in Athletics/Track and Field (2025).","Athlete female, 23 ans, actif en Athletics/Track and Field (2025).","Female atleet, 23 jaar, actief in Athletics/Track and Field (2025)."
ath-227,sport-3,Athlete CRM2WEOO,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 19, active in Athletics/Track and Field (2025).","Athlete male, 19 ans, actif en Athletics/Track and Field (2025).","Male atleet, 19 jaar, actief in Athletics/Track and Field (2025)."
ath-230,sport-3,Athlete DNPMDN1E,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Female athlete, age 39, active in Athletics/Track and Field (2025).","Athlete female, 39 ans, actif en Athletics/Track and Field (2025).","Female atleet, 39 jaar, actief in Athletics/Track and Field (2025)."
ath-231,sport-3,Athlete F1OBWHE6,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 18, active in Athletics/Track and Field (2025).","Athlete male, 18 ans, actif en Athletics/Track and Field (2025).","Male atleet, 18 jaar, actief in Athletics/Track and Field (2025)."
ath-233,sport-3,Athlete G6K4VNHB,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 27, active in Athletics/Track and Field (2025).","Athlete male, 27 ans, actif en Athletics/Track and Field (2025).","Male atleet, 27 jaar, actief in Athletics/Track and Field (2025)."
ath-234,sport-3,Athlete GT8I1MH6,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 24, active in Athletics/Track and Field (2025).","Athlete male, 24 ans, actif en Athletics/Track and Field (2025).","Male atleet, 24 jaar, actief in Athletics/Track and Field (2025)."
ath-238,sport-3,Athlete JBQUQUNO,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 28, active in Athletics/Track and Field (2025).","Athlete male, 28 ans, actif en Athletics/Track and Field (2025).","Male atleet, 28 jaar, actief in Athletics/Track and Field (2025)."
ath-240,sport-3,Athlete LBJA8K1N,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Female athlete, age 22, active in Athletics/Track and Field (2025).","Athlete female, 22 ans, actif en Athletics/Track and Field (2025).","Female atleet, 22 jaar, actief in Athletics/Track and Field (2025)."
ath-242,sport-3,Athlete LT311AXS,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 18, active in Athletics/Track and Field (2025).","Athlete male, 18 ans, actif en Athletics/Track and Field (2025).","Male atleet, 18 jaar, actief in Athletics/Track and Field (2025)."
ath-243,sport-3,Athlete M48IB6GV,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 56, active in Athletics/Track and Field (2025).","Athlete male, 56 ans, actif en Athletics/Track and Field (2025).","Male atleet, 56 jaar, actief in Athletics/Track and Field (2025)."
ath-244,sport-3,Athlete MWU3YHSN,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Female athlete, age 31, active in Athletics/Track and Field (2025).","Athlete female, 31 ans, actif en Athletics/Track and Field (2025).","Female atleet, 31 jaar, actief in Athletics/Track and Field (2025)."
ath-247,sport-3,Athlete PKUWVEZN,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 42, active in Athletics/Track and Field (2025).","Athlete male, 42 ans, actif en Athletics/Track and Field (2025).","Male atleet, 42 jaar, actief in Athletics/Track and Field (2025)."
ath-248,sport-3,Athlete QUAZJ70B,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 29, active in Athletics/Track and Field (2025).","Athlete male, 29 ans, actif en Athletics/Track and Field (2025).","Male atleet, 29 jaar, actief in Athletics/Track and Field (2025)."
ath-252,sport-3,Athlete TQB1GBO7,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Female athlete, age 20, active in Athletics/Track and Field (2025).","Athlete female, 20 ans, actif en Athletics/Track and Field (2025).","Female atleet, 20 jaar, actief in Athletics/Track and Field (2025)."
ath-253,sport-3,Athlete UO3P45LP,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Female athlete, age 27, active in Athletics/Track and Field (2025).","Athlete female, 27 ans, actif en Athletics/Track and Field (2025).","Female atleet, 27 jaar, actief in Athletics/Track and Field (2025)."
ath-255,sport-3,Athlete X79K2T2E,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Female athlete, age 36, active in Athletics/Track and Field (2025).","Athlete female, 36 ans, actif en Athletics/Track and Field (2025).","Female atleet, 36 jaar, actief in Athletics/Track and Field (2025)."
ath-259,sport-3,Athlete ZJP3RUZA,Athletics/Track and Field,A.V. LYRA-LIERSE,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 23, active in Athletics/Track and Field (2025).","Athlete male, 23 ans, actif en Athletics/Track and Field (2025).","Male atleet, 23 jaar, actief in Athletics/Track and Field (2025)."
ath-263,sport-3,Athlete 27KU3G3X,Athletics/Track and Field,AC DEINZE,Oost-Vlaanderen,Oost-Vlaanderen,Oost-Vlaanderen,"Female athlete, age 34, active in Athletics/Track and Field (2025).","Athlete female, 34 ans, actif en Athletics/Track and Field (2025).","Female atleet, 34 jaar, actief in Athletics/Track and Field (2025)."
ath-267,sport-3,Athlete CNTEZJTM,Athletics/Track and Field,AC DEINZE,Oost-Vlaanderen,Oost-Vlaanderen,Oost-Vlaanderen,"Female athlete, age 21, active in Athletics/Track and Field (2025).","Athlete female, 21 ans, actif en Athletics/Track and Field (2025).","Female atleet, 21 jaar, actief in Athletics/Track and Field (2025)."
ath-269,sport-3,Athlete GF2NX7DC,Athletics/Track and Field,AC DEINZE,Oost-Vlaanderen,Oost-Vlaanderen,Oost-Vlaanderen,"Female athlete, age 46, active in Athletics/Track and Field (2025).","Athlete female, 46 ans, actif en Athletics/Track and Field (2025).","Female atleet, 46 jaar, actief in Athletics/Track and Field (2025)."
ath-270,sport-3,Athlete HZJ5X595,Athletics/Track and Field,AC DEINZE,Oost-Vlaanderen,Oost-Vlaanderen,Oost-Vlaanderen,"Female athlete, age 29, active in Athletics/Track and Field (2025).","Athlete female, 29 ans, actif en Athletics/Track and Field (2025).","Female atleet, 29 jaar, actief in Athletics/Track and Field (2025)."
ath-274,sport-3,Athlete RL797CHZ,Athletics/Track and Field,AC DEINZE,Oost-Vlaanderen,Oost-Vlaanderen,Oost-Vlaanderen,"Male athlete, age 37, active in Athletics/Track and Field (2025).","Athlete male, 37 ans, actif en Athletics/Track and Field (2025).","Male atleet, 37 jaar, actief in Athletics/Track and Field (2025)."
ath-276,sport-3,Athlete UTMPFSLX,Athletics/Track and Field,AC DEINZE,Oost-Vlaanderen,Oost-Vlaanderen,Oost-Vlaanderen,"Female athlete, age 40, active in Athletics/Track and Field (2025).","Athlete female, 40 ans, actif en Athletics/Track and Field (2025).","Female atleet, 40 jaar, actief in Athletics/Track and Field (2025)."
ath-281,sport-3,Athlete 5BHR44PF,Athletics/Track and Field,AC HERENTALS,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 20, active in Athletics/Track and Field (2025).","Athlete male, 20 ans, actif en Athletics/Track and Field (2025).","Male atleet, 20 jaar, actief in Athletics/Track and Field (2025)."
ath-287,sport-3,Athlete BS6KUJW0,Athletics/Track and Field,AC HERENTALS,Antwerpen,Antwerpen,Antwerpen,"Female athlete, age 14, active in Athletics/Track and Field (2025).","Athlete female, 14 ans, actif en Athletics/Track and Field (2025).","Female atleet, 14 jaar, actief in Athletics/Track and Field (2025)."
ath-288,sport-3,Athlete C61X2Y0J,Athletics/Track and Field,AC HERENTALS,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 27, active in Athletics/Track and Field (2025).","Athlete male, 27 ans, actif en Athletics/Track and Field (2025).","Male atleet, 27 jaar, actief in Athletics/Track and Field (2025)."
ath-294,sport-3,Athlete HOZNDBP1,Athletics/Track and Field,AC HERENTALS,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 18, active in Athletics/Track and Field (2025).","Athlete male, 18 ans, actif en Athletics/Track and Field (2025).","Male atleet, 18 jaar, actief in Athletics/Track and Field (2025)."
ath-307,sport-3,Athlete TMV00JMB,Athletics/Track and Field,AC HERENTALS,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 29, active in Athletics/Track and Field (2025).","Athlete male, 29 ans, actif en Athletics/Track and Field (2025).","Male atleet, 29 jaar, actief in Athletics/Track and Field (2025)."
ath-308,sport-3,Athlete U6IAWU3V,Athletics/Track and Field,AC HERENTALS,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 24, active in Athletics/Track and Field (2025).","Athlete male, 24 ans, actif en Athletics/Track and Field (2025).","Male atleet, 24 jaar, actief in Athletics/Track and Field (2025)."
ath-309,sport-3,Athlete UHT3AD8P,Athletics/Track and Field,AC HERENTALS,Antwerpen,Antwerpen,Antwerpen,"Female athlete, age 18, active in Athletics/Track and Field (2025).","Athlete female, 18 ans, actif en Athletics/Track and Field (2025).","Female atleet, 18 jaar, actief in Athletics/Track and Field (2025)."
ath-311,sport-3,Athlete WB3GOW6L,Athletics/Track and Field,AC HERENTALS,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 24, active in Athletics/Track and Field (2025).","Athlete male, 24 ans, actif en Athletics/Track and Field (2025).","Male atleet, 24 jaar, actief in Athletics/Track and Field (2025)."
ath-315,sport-3,Athlete XEIWHEZX,Athletics/Track and Field,AC HERENTALS,Antwerpen,Antwerpen,Antwerpen,"Male athlete, age 17, active in Athletics/Track and Field (2025).","Athlete male, 17 ans, actif en Athletics/Track and Field (2025).","Male atleet, 17 jaar, actief in Athletics/Track and Field (2025)."
ath-386,sport-10,Athlete 49INBBDS,Floorball,ALBATROS,Namur,Namur,Namur,"Male athlete, age 42, active in Floorball (2025).","Athlete male, 42 ans, actif en Floorball (2025).","Male atleet, 42 jaar, actief in Floorball (2025)."
ath-387,sport-10,Athlete 4WL2KFT8,Floorball,ALBATROS,Namur,Namur,Namur,"Male athlete, age 39, active in Floorball (2025).","Athlete male, 39 ans, actif en Floorball (2025).","Male atleet, 39 jaar, actief in Floorball (2025)."
ath-388,sport-10,Athlete 5F9JHCJX,Floorball,ALBATROS,Namur,Namur,Namur,"Male athlete, age 38, active in Floorball (2025).","Athlete male, 38 ans, actif en Floorball (2025).","Male atleet, 38 jaar, actief in Floorball (2025)."
ath-389,sport-10,Athlete 5T6PRNNX,Floorball,ALBATROS,Namur,Namur,Namur,"Male athlete, age 48, active in Floorball (2025).","Athlete male, 48 ans, actif en Floorball (2025).","Male atleet, 48 jaar, actief in Floorball (2025)."
ath-392,sport-23,Athlete 79OXP52H,Triathlon,ALBATROS,Namur,Namur,Namur,"Male athlete, age 43, active in Triathlon (2025).","Athlete male, 43 ans, actif en Triathlon (2025).","Male atleet, 43 jaar, actief in Triathlon (2025)."
ath-393,sport-10,Athlete 8OPBW3PO,Floorball,ALBATROS,Namur,Namur,Namur,"Male athlete, age 26, active in Floorball (2025).","Athlete male, 26 ans, actif en Floorball (2025).","Male atleet, 26 jaar, actief in Floorball (2025)."
ath-396,sport-23,Athlete 9FVE89BI,Triathlon,ALBATROS,Namur,Namur,Namur,"Male athlete, age 40, active in Triathlon (2025).","Athlete male, 40 ans, actif en Triathlon (2025).","Male atleet, 40 jaar, actief in Triathlon (2025)."
ath-398,sport-23,Athlete ALXM8J70,Triathlon,ALBATROS,Namur,Namur,Namur,"Male athlete, age 33, active in Triathlon (2025).","Athlete male, 33 ans, actif en Triathlon (2025).","Male atleet, 33 jaar, actief in Triathlon (2025)."
ath-400,sport-10,Athlete B74FMWF8,Floorball,ALBATROS,Namur,Namur,Namur,"Male athlete, age 40, active in Floorball (2025).","Athlete male, 40 ans, actif en Floorball (2025).","Male atleet, 40 jaar, actief in Floorball (2025)."
ath-402,sport-23,Athlete E8X6HFKC,Triathlon,ALBATROS,Namur,Namur,Namur,"Female athlete, age 28, active in Triathlon (2025).","Athlete female, 28 ans, actif en Triathlon (2025).","Female atleet, 28 jaar, actief in Triathlon (2025)."
ath-403,sport-23,Athlete FBNHHF8Y,Triathlon,ALBATROS,Namur,Namur,Namur,"Male athlete, age 33, active in Triathlon (2025).","Athlete male, 33 ans, actif en Triathlon (2025).","Male atleet, 33 jaar, actief in Triathlon (2025)."
ath-405,sport-23,Athlete GRVLB9OI,Triathlon,ALBATROS,Namur,Namur,Namur,"Male athlete, age 43, active in Triathlon (2025).","Athlete male, 43 ans, actif en Triathlon (2025).","Male atleet, 43 jaar, actief in Triathlon (2025)."
ath-409,sport-23,Athlete K4BL0788,Triathlon,ALBATROS,Namur,Namur,Namur,"Female athlete, age 32, active in Triathlon (2025).","Athlete female, 32 ans, actif en Triathlon (2025).","Female atleet, 32 jaar, actief in Triathlon (2025)."
ath-412,sport-11,Athlete MTUU285U,Football/Soccer,ALBATROS,Namur,Namur,Namur,"Male athlete, age 47, active in Football/Soccer (2025).","Athlete male, 47 ans, actif en Football/Soccer (2025).","Male atleet, 47 jaar, actief in Football/Soccer (2025)."
ath-414,sport-11,Athlete NT23L316,Football/Soccer,ALBATROS,Namur,Namur,Namur,"Male athlete, age 41, active in Football/Soccer (2025).","Athlete male, 41 ans, actif en Football/Soccer (2025).","Male atleet, 41 jaar, actief in Football/Soccer (2025)."
ath-416,sport-10,Athlete ORVI4707,Floorball,ALBATROS,Namur,Namur,Namur,"Male athlete, age 39, active in Floorball (2025).","Athlete male, 39 ans, actif en Floorball (2025).","Male atleet, 39 jaar, actief in Floorball (2025)."
